field_1,Village,District,Date_Completed,Depth_of_overburden,Total_Depth,Depth_drilled_in_bedrock,BH Depth_1,BH Depth_2,BH Depth_3,BH Depth_4,Yield_L/s_1,Yield_L/s_2,Yield_L/s_3,Yield_L/s_4,Lithology_1,Lithology_2,Static_Water_Level,Stabilized_discharge(L/s),Grid_E,Grid_N,Altitude_(m),Date_Lab,Ph,Electrical Conductivity (EC),Total dissolved solids,Turbidity,Colour,Alkalinity,Hardness,Chloride,Nitrate,Nitrite,Iron,Copper,Flouride,Sulphate,E.coli,Number,Suspended solids (total),Manganese,Total Coliforms,geometry
17,Aoyareng,Nakapiripirit,6/7/2022,6,84,78,18-24,24-30,,,0.138889,0.0555556,,,Quartizite,Granite,20.46,1.611111111,665540,207728,1096,23/07/2022,7.5,0.12,864.0,3.3,0.0,356.0,475.0,12.0,1.03,0.0,0.03,0.075,,,0.0,89256,,,,POINT (665540 207728)
18,Kochamaluk,Napak,8/7/2022,6,60,54,24-30,30-36,,,0.2222224,0.277778,,,Granite,Granite,21.62,1.111111111,648993,239973,1261,20/09/2022,7.2,1.16,525.0,4.74,0.0,,422.0,0.0,0.06,0.0,0.03,,0.0,0.0,0.0,89257,,,0.0,POINT (648993 239973)
19,Aoyareng,Nakapiripirit,7/7/2022,6,84,78,27-28,30-33,39-41,55-56,0.1944446,0.2500002,0.17222236,0.11388898,Granite,Granite,,0.833333333,665485,207606,1094,24/07/2022,6.9,1.22,773.0,0.84,0.0,477.0,388.0,3.0,0.0,0.0,0.16,0.05,0.0,2.0,0.0,89255,,,,POINT (665485 207606)
20,Loopong,Moroto,1/8/2022,6,60,54,36-42,42-48,48-54,,0.5000004,0.4444448,0.1666668,,Granite,Granite,26.78,1.805555556,687536,268409,1370,4/10/2022,7.5,1.7,616.0,47.1,0.0,,572.0,28.0,30.0,0.03,1.0,,0.0,,30.0,89260,1225.0,,0.0,POINT (687536 268409)
21,Kosomaita,Moroto,4/8/2022,6,66,60,36-42,54-60,,,0.4444448,0.3888892,,,Granite,Granite,31.35,1.388888889,685290,265757,1333,4/10/2022,7.1,1.07,766.0,2.72,0.0,,510.0,6.0,30.0,0.0,0.39,,0.0,,0.0,89259,,,10.0,POINT (685290 265757)
22,Kaurikiakine,Napak,1/7/2022,6,60,54,24-30,36-42,,,0.1666668,0.0555556,,,Granite,Granite,,0.416666667,365575,240852,1158,21/09/2022,7.1,1.06,229.0,2.74,0.0,445.0,386.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,89258,,,,POINT (365575 240852)
23,Kachakatom,Moroto,8/31/2022,6,72,66,36,60,,,0.138889,0.1944446,,,Granite,Granite,39.56,0.388888889,673879,279558,1235,9/10/2022,6.8,1.29,880.0,5.33,0.0,470.0,421.0,0.0,0.3,0.0,0.43,0.0,0.0,0.0,0.0,89261,,,,POINT (673879 279558)
24,Naror,Nakapiripirit,7/9/2022,12,2,50,28-30,35-36,39-41,44-46,0.23055574,0.66388942,0.972223,0.56111156,Quartizites,Quartizites,19.92,2.777777778,675456,211326,1129,12/9/2022,7.3,0.85,616.0,0.32,0.0,,300.0,10.0,2.2,0.0,4.23,,0.0,,15.0,89262,,,25.0,POINT (675456 211326)
25,Nayonai-Angikalio,Nabilatuk,9/9/2022,6,70,64,28-31,40,51-54,62-65,0.90000072,0.01944446,0.11944454,0.201111272,Weathered rock,Granite,19.08,1.111111111,669045,226825,1146,24/09/2022,7.0,,957.0,3.66,0.0,,468.0,9.0,30.0,0.3,4.23,,0.04,150.0,6.0,89263,,,26.0,POINT (669045 226825)
26,Napongae - S,Nabilatuk,6/9/2022,6,60,54,15-18,20-22,26-30,33,1.527779,2.222224,2.222224,0.0833334,Weathered rock,Granite,10.24,4.166666667,671341,220976,1133,30/09/2022,7.2,1.85,1333.0,0.79,0.0,,846.0,11.0,30.0,0.0,0.0,,0.0,150.0,3.0,89264,,,6.0,POINT (671341 220976)
27,Nadekel,Nakapiripirit,3/11/2022,24,66,42,38-41,45-46,51-54,,0.2500002,0.3611114,1.1805565,,Quartizite,Granit,,1.666666667,671388,203009,1103,7/11/2022,6.8,1.48,1030.0,0.38,0.0,753.0,375.0,5.0,0.0,0.0,0.12,0.05,0.0,5.0,15.0,89266,,,,POINT (671388 203009)
28,Nakorisat,Nakapiripirit,7/10/2022,18,60,42,21-23,28-30,35-36,39,1.1666676,0.8611118,0.416667,0.3611114,Weathered rock,Granite,12.77,2.5,680145,198052,1172,21/10/2022,6.7,0.46,327.0,3.1,0.0,,123.0,14.0,0.6,0.15,0.0,,0.0,0.0,6.0,89265,,,15.0,POINT (680145 198052)
29,Moruangamion,Nabilatuk,7/11/2022,6,72,78,33,43-44,51-52,57-58,0.0555556,0.2500002,0.7500006,0.277778,Granite,Granite,,1.333333333,665485,207606,1094,21/11/2022,7.0,1.63,1770.0,1.59,0.0,744.0,597.0,15.0,0.0,0.03,0.0,0.19,0.0,80.0,0.0,89267,,,,POINT (665485 207606)
30,Kosike,Amudat,2/21/2023,12,78,66,60 - 61 m,,,,0.277778,,,,granite,,33.4,1.2,684186,278839,1251,3/28/2023,6.6,1.39,995.0,10.8,0.0,600.0,500.0,10.0,3.0,0.0,0.0,0.08,0.0,100.0,0.0,89274,,,,POINT (684186 278839)
31,Koomo,Napak,2/11/2023,12,50,38,18 - 20,27 - 30,,,0.1666668,0.1111112,,,granite,granite,8.7,1.4,637618,238955,1172,4/4/2023,7.2,0.67,478.0,6.16,0.0,400.0,317.0,8.0,1.5,0.0,0.02,0.251,0.0,0.0,6.0,89273,,,,POINT (637618 238955)
32,Loitabela,Amudat,2/24/2023,12,60,48,31-33,39-40,43,,0.2222224,0.4444448,0.1666668,,granite,granite,24.82,3.8,708226,223196,1246,3/28/2023,6.8,1.06,757.0,0.69,0.0,500.0,445.0,7.0,2.0,0.0,0.005,0.058,0.0,50.0,30.0,89275,,,,POINT (708226 223196)
33,Lopoiyin,Amudat,3/4/2023,12,66,54,28-30,33-34,,,2.222224,0.833334,,,granite,granite,16.3,6,715251,243356,1453,3/28/2023,6.7,1.78,526.0,0.94,0.0,400.0,350.0,13.0,1.0,0.0,0.076,0.075,0.01,150.0,2.0,89276,,,,POINT (715251 243356)
34,Lokori,Moroto,4/24/2023,12,76,64,17-18,58-60,,,0.1111112,0.05000004,,,granite,granite,28.33,0.6,687416,271189,1394,5/4/2023,7.6,1.22,868.0,45.3,0.0,400.0,320.0,20.0,1.01,0.0,0.0,0.0,0.0,90.0,0.0,89280,,,,POINT (687416 271189)
35,Nakoit,Nabilatuk,12/8/2022,6,60,54,20-24,30-32,48-49,,0.1111112,0.2222224,0.1666668,,granite,granite,10.43,2,681341,229631,1221,4/25/2023,7.1,0.42,387.0,2.81,0.0,317.0,290.0,0.02,0.01,0.0,0.04,0.25,0.0,10.0,0.0,89269,,,,POINT (681341 229631)
36,Okutot,Nabilatuk,12/24/2023,6,90,84,21-23,40-42,50-51,60-64,0.1111112,0.416667,0.0277778,0.0555556,granite,granite,24.06,2.4,664873,215695,1117,1/16/2023,7.1,0.76,539.0,0.92,0.0,490.0,430.0,0.02,0.01,0.0,0.033,0.021,0.0,100.0,0.0,89270,,,,POINT (664873 215695)
37,Okutot,Nabilatuk,11/12/2022,6,72,66,20-23,37-39,,,0.1111112,0.2222224,,,granite,granite,30.83,1.2,664835,215385,1111,12/6/2022,6.9,1.26,511.0,2.8,0.0,462.0,440.0,8.0,0.01,0.0,0.03,0.021,0.01,45.0,0.0,89268,,,,POINT (664835 215385)
38,Katanga,Moroto,1/19/2023,12,60,48,36-42,48-54,,,0.8611118,0.555556,,,granite,granite,18.62,5.6,683997,279997,1334,1/27/2023,7.5,0.86,639.0,0.68,0.0,500.0,430.0,8.0,1.0,0.0,0.076,0.075,0.0,150.0,0.0,89271,,,,POINT (683997 279997)
39,Nanyidik,Moroto,4/27/2023,12,30,18,12.0-18,18-24,,,2.361113,1.805557,,,granite,granite,15.48,6,685117,291751,1341,3/14/2023,8.0,0.88,628.0,4.96,0.0,600.0,345.0,8.0,0.0,0.0,0.02,0.058,0.0,0.0,0.0,89272,,,,POINT (685117 291751)
40,Ariamakot,Napak,4/6/2023,12,72,60,55-57,63-65,,,0.833334,0.3333336,,,granite,granite,50.89,4.6,640680,237200,1248,4/25/2023,7.6,0.78,556.0,0.98,0.0,346.0,430.0,4.0,2.9,0.0,0.0,0.01,0.0,50.0,5.0,89278,,,,POINT (640680 237200)
41,Naoi,Moroto,3/22/2023,12,60,48,24-28,41-43,40-54,,0.7500006,0.833334,0.555556,,weathered rock,granite,9.02,6,683270,279952,1347,4/6/2023,7.0,1.16,795.0,9.52,0.0,350.0,467.0,10.0,3.0,0.0,0.02,0.4,0.0,100.0,0.0,89277,,,,POINT (683270 279952)
42,Nakobekobe Village,Karamoja,20-Nov-20,3,64.29,61,28-40,58,,,,,,,,Granite,14.97,0.305556,674154,222740,1158,3/7/2020,6.74,195.0,184.0,3.9,21.0,60.0,52.0,3.0,0.03,,0.038,,0.1,0.0,,,0.0,0.0,0.0,POINT (674154 222740)
43,Nakwanga Village,Karamoja,19-Aug-22,28,100.8,82,24-30,50-58,72-76,,2.77778,0.416667,0.361111,,,Hard Granite,15.53,0.777778,679308,198509,1044,1/19/2022,7.4,1070.0,589.0,0.94,0.0,,240.0,27.5,0.0,0.0,44.0,,0.0,0.0,0.0,,3.0,0.0,12.0,POINT (679308 198509)
44,Lokaala Village,Karamoja,22-Apr-23,12,72,60,30,35-36,39-40,45-46,0.63,0.178,1.619,0.964,Clay,Quartzite,5.6,4.53,673639,225295,1170,6/10/2022,7.9,983.0,688.0,0.16,,255.0,155.0,9.0,0.9,,,,0.59,,0.0,,,,0.0,POINT (673639 225295)
45,Lokibui Village,Karamoja,17-Dec-22,18,60,42,21-23,28-30,35-36,39,1.167,0.861,0.417,0.361,Clay,Granite,12.52,2,680145,198052,1172,10/19/2022,6.83,352.0,229.0,,,159.6,118.9,5.62,3.89,,0.03,,0.17,2.0,12.0,,,0.001,110.0,POINT (680145 198052)
46,Nayonai Angikalio B Village,Karamoja,26-Sep-22,6,70,64,28-31,40,51-54,62-65,0.9,0.006,0.119,0.2,Clay,Quartzite,16.87,1.25,669045,226825,1146,7/8/2022,6.99,1813.0,1227.0,1.0,,456.0,,703.3,23.01,0.573,0.001,,0.65,196.0,12.0,,1.0,0.006,53.0,POINT (669045 226825)
