Village,District,Date_Completed,Depth_of_overburden,Total_Depth,Depth_drilled_in_bedrock,BH Depth_1,BH Depth_2,BH Depth_3,BH Depth_4,Yield_L/s_1,Yield_L/s_2,Yield_L/s_3,Yield_L/s_4,Lithology_1,Lithology_2,Static_Water_Level,Stabilized_discharge(L/s),Altitude_(m),Date_Lab,Ph,Electrical Conductivity (EC),Total dissolved solids,Turbidity,Colour,Alkalinity,Hardness,Chloride,Nitrate,Nitrite,Iron,Copper,Flouride,Sulphate,E.coli,Number,Suspended solids (total),Manganese,Total Coliforms,Nitrate_below_threshold,Nitrate_above_threshold,Ecoli_below_threshold,Ecoli_above_threshold,lat,long
Kochamaluk,Napak,8/7/2022,6,60.0,54,24-30,30-36,,,0.2222224,0.277778,,,Granite,Granite,21.62,1.111111111,1261.0,20/09/2022,7.2,1.16,525.0,4.74,0.0,,422.0,0.0,0.06,0.0,0.03,,0.0,0.0,0.0,89257.0,,,0.0,0.06,,0.0,,2.1705035987563055,34.33979478830676
Aoyareng,Nakapiripirit,7/7/2022,6,84.0,78,27-28,30-33,39-41,55-56,0.1944446,0.2500002,0.17222236,0.11388898,Granite,Granite,,0.833333333,1094.0,24/07/2022,6.9,1.22,773.0,0.84,0.0,477.0,388.0,3.0,0.0,0.0,0.16,0.05,0.0,2.0,0.0,89255.0,,,,0.0,,0.0,,1.8776328376335427,34.48779749333959
Loopong,Moroto,1/8/2022,6,60.0,54,36-42,42-48,48-54,,0.5000004,0.4444448,0.1666668,,Granite,Granite,26.78,1.805555556,1370.0,4/10/2022,7.5,1.7,616.0,47.1,0.0,,572.0,28.0,30.0,0.03,1.0,,0.0,,30.0,89260.0,1225.0,,0.0,,30.0,,30.0,2.4273079784166307,34.68659768056233
Kosomaita,Moroto,4/8/2022,6,66.0,60,36-42,54-60,,,0.4444448,0.3888892,,,Granite,Granite,31.35,1.388888889,1333.0,4/10/2022,7.1,1.07,766.0,2.72,0.0,,510.0,6.0,30.0,0.0,0.39,,0.0,,0.0,89259.0,,,10.0,,30.0,0.0,,2.4033503231749602,34.66637491268711
Kaurikiakine,Napak,1/7/2022,6,60.0,54,24-30,36-42,,,0.1666668,0.0555556,,,Granite,Granite,,0.416666667,1158.0,21/09/2022,7.1,1.06,229.0,2.74,0.0,445.0,386.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,89258.0,,,,0.02,,0.0,,2.1785653038767228,31.79117854544912
Kachakatom,Moroto,8/31/2022,6,72.0,66,36,60,,,0.138889,0.1944446,,,Granite,Granite,39.56,0.388888889,1235.0,9/10/2022,6.8,1.29,880.0,5.33,0.0,470.0,421.0,0.0,0.3,0.0,0.43,0.0,0.0,0.0,0.0,89261.0,,,,0.3,,0.0,,2.5282851787430283,34.563924278891186
Naror,Nakapiripirit,7/9/2022,12,2.0,50,28-30,35-36,39-41,44-46,0.23055574,0.66388942,0.972223,0.56111156,Quartizites,Quartizites,19.92,2.777777778,1129.0,12/9/2022,7.3,0.85,616.0,0.32,0.0,,300.0,10.0,2.2,0.0,4.23,,0.0,,15.0,89262.0,,,25.0,2.2,,,15.0,1.9111965831428501,34.5774503069715
Nayonai-Angikalio,Nabilatuk,9/9/2022,6,70.0,64,28-31,40,51-54,62-65,0.90000072,0.01944446,0.11944454,0.201111272,Weathered rock,Granite,19.08,1.111111111,1146.0,24/09/2022,7.0,,957.0,3.66,0.0,,468.0,9.0,30.0,0.3,4.23,,0.04,150.0,6.0,89263.0,,,26.0,,30.0,,6.0,2.0514218277586522,34.51995342076018
Napongae - S,Nabilatuk,6/9/2022,6,60.0,54,15-18,20-22,26-30,33,1.527779,2.222224,2.222224,0.0833334,Weathered rock,Granite,10.24,4.166666667,1133.0,30/09/2022,7.2,1.85,1333.0,0.79,0.0,,846.0,11.0,30.0,0.0,0.0,,0.0,150.0,3.0,89264.0,,,6.0,,30.0,,3.0,1.9985041521951261,34.540542759119326
Nadekel,Nakapiripirit,3/11/2022,24,66.0,42,38-41,45-46,51-54,,0.2500002,0.3611114,1.1805565,,Quartizite,Granit,,1.666666667,1103.0,7/11/2022,6.8,1.48,1030.0,0.38,0.0,753.0,375.0,5.0,0.0,0.0,0.12,0.05,0.0,5.0,15.0,89266.0,,,,0.0,,,15.0,1.8360116722434003,34.540819894408834
Nakorisat,Nakapiripirit,7/10/2022,18,60.0,42,21-23,28-30,35-36,39,1.1666676,0.8611118,0.416667,0.3611114,Weathered rock,Granite,12.77,2.5,1172.0,21/10/2022,6.7,0.46,327.0,3.1,0.0,,123.0,14.0,0.6,0.15,0.0,,0.0,0.0,6.0,89265.0,,,15.0,0.6,,,6.0,1.7911126286282109,34.619486979681604
Moruangamion,Nabilatuk,7/11/2022,6,72.0,78,33,43-44,51-52,57-58,0.0555556,0.2500002,0.7500006,0.277778,Granite,Granite,,1.333333333,1094.0,21/11/2022,7.0,1.63,1770.0,1.59,0.0,744.0,597.0,15.0,0.0,0.03,0.0,0.19,0.0,80.0,0.0,89267.0,,,,0.0,,0.0,,1.8776328376335427,34.48779749333959
Kosike,Amudat,2/21/2023,12,78.0,66,60 - 61 m,,,,0.277778,,,,granite,,33.4,1.2,1251.0,3/28/2023,6.6,1.39,995.0,10.8,0.0,600.0,500.0,10.0,3.0,0.0,0.0,0.08,0.0,100.0,0.0,89274.0,,,,3.0,,0.0,,2.5216674355212567,34.65659522446027
Koomo,Napak,2/11/2023,12,50.0,38,18 - 20,27 - 30,,,0.1666668,0.1111112,,,granite,granite,8.7,1.4,1172.0,4/4/2023,7.2,0.67,478.0,6.16,0.0,400.0,317.0,8.0,1.5,0.0,0.02,0.251,0.0,0.0,6.0,89273.0,,,,1.5,,,6.0,2.1613833852760864,34.23751621709894
Loitabela,Amudat,2/24/2023,12,60.0,48,31-33,39-40,43,,0.2222224,0.4444448,0.1666668,,granite,granite,24.82,3.8,1246.0,3/28/2023,6.8,1.06,757.0,0.69,0.0,500.0,445.0,7.0,2.0,0.0,0.005,0.058,0.0,50.0,30.0,89275.0,,,,2.0,,,30.0,2.018231656747156,34.87209363379439
Lopoiyin,Amudat,3/4/2023,12,66.0,54,28-30,33-34,,,2.222224,0.833334,,,granite,granite,16.3,6.0,1453.0,3/28/2023,6.7,1.78,526.0,0.94,0.0,400.0,350.0,13.0,1.0,0.0,0.076,0.075,0.01,150.0,2.0,89276.0,,,,1.0,,,2.0,2.20044392496788,34.93545470657022
Lokori,Moroto,4/24/2023,12,76.0,64,17-18,58-60,,,0.1111112,0.05000004,,,granite,granite,28.33,0.6,1394.0,5/4/2023,7.6,1.22,868.0,45.3,0.0,400.0,320.0,20.0,1.01,0.0,0.0,0.0,0.0,90.0,0.0,89280.0,,,,1.01,,0.0,,2.4524494501323604,34.685550091030805
Nakoit,Nabilatuk,12/8/2022,6,60.0,54,20-24,30-32,48-49,,0.1111112,0.2222224,0.1666668,,granite,granite,10.43,2.0,1221.0,4/25/2023,7.1,0.42,387.0,2.81,0.0,317.0,290.0,0.02,0.01,0.0,0.04,0.25,0.0,10.0,0.0,89269.0,,,,0.01,,0.0,,2.07668844777818,34.63050863089902
Okutot,Nabilatuk,12/24/2023,6,90.0,84,21-23,40-42,50-51,60-64,0.1111112,0.416667,0.0277778,0.0555556,granite,granite,24.06,2.4,1117.0,1/16/2023,7.1,0.76,539.0,0.92,0.0,490.0,430.0,0.02,0.01,0.0,0.033,0.021,0.0,100.0,0.0,89270.0,,,,0.01,,0.0,,1.9507957844127886,34.48235937899967
Okutot,Nabilatuk,11/12/2022,6,72.0,66,20-23,37-39,,,0.1111112,0.2222224,,,granite,granite,30.83,1.2,1111.0,12/6/2022,6.9,1.26,511.0,2.8,0.0,462.0,440.0,8.0,0.01,0.0,0.03,0.021,0.01,45.0,0.0,89268.0,,,,0.01,,0.0,,1.947992396955185,34.482015348583076
Katanga,Moroto,1/19/2023,12,60.0,48,36-42,48-54,,,0.8611118,0.555556,,,granite,granite,18.62,5.6,1334.0,1/27/2023,7.5,0.86,639.0,0.68,0.0,500.0,430.0,8.0,1.0,0.0,0.076,0.075,0.0,150.0,0.0,89271.0,,,,1.0,,0.0,,2.532141794922075,34.65490907163707
Nanyidik,Moroto,4/27/2023,12,30.0,18,12.0-18,18-24,,,2.361113,1.805557,,,granite,granite,15.48,6.0,1341.0,3/14/2023,8.0,0.88,628.0,4.96,0.0,600.0,345.0,8.0,0.0,0.0,0.02,0.058,0.0,0.0,0.0,89272.0,,,,0.0,,0.0,,2.6384235782472025,34.66511832672212
Ariamakot,Napak,4/6/2023,12,72.0,60,55-57,63-65,,,0.833334,0.3333336,,,granite,granite,50.89,4.6,1248.0,4/25/2023,7.6,0.78,556.0,0.98,0.0,346.0,430.0,4.0,2.9,0.0,0.0,0.01,0.0,50.0,5.0,89278.0,,,,2.9,,,5.0,2.1454866557958376,34.2650333938473
Naoi,Moroto,3/22/2023,12,60.0,48,24-28,41-43,40-54,,0.7500006,0.833334,0.555556,,weathered rock,granite,9.02,6.0,1347.0,4/6/2023,7.0,1.16,795.0,9.52,0.0,350.0,467.0,10.0,3.0,0.0,0.02,0.4,0.0,100.0,0.0,89277.0,,,,3.0,,0.0,,2.5317432187627475,34.648371584245886
Nakobekobe Village,Karamoja,20-Nov-20,3,64.29,61,28-40,58,,,,,,,,Granite,14.97,0.305556,1158.0,3/7/2020,6.74,195.0,184.0,3.9,21.0,60.0,52.0,3.0,0.03,,0.038,,0.1,0.0,,,0.0,0.0,0.0,0.03,,,,2.014433361565031,34.56584358255934
